label,review
0,没吃出什么味道。饿死了。迟到1个多小时。
1,豆浆撒的有点儿严重……
1,送餐及时，可以说很快！大冷的天儿还能保证食物温度真的很感谢配餐小哥儿，更好的是服务还周到
0,烧二冬的冬笋没泡开根本咬不动
1,量很多，就是尖椒豆腐皮的味道差点，不是尖椒，是大海椒，一点辣味都没有呢！
0,金针菇这次感觉口感不好，其他还行。
1,"口味不错哦,还优惠很多"
0,"配送师傅非常,但是我点的冰摇红梅黑加仑送成了柠檬茶！"
0,巨难吃，鸡丁没几块都在油里泡着，油太大啦！酸辣土豆丝，请问醋在哪里？辣在哪里？不酸也不辣！这两个菜一起点，已经是我多年的习惯，在n家餐馆吃过，只有这家是最差的！
1,"送餐很快，分量够大，服务态度好，就是蔬菜牛肉卷的蔬菜里没有叶子菜只有豆芽和土豆条，牛肉的肉筋多了点,总体很满意,性价比高"
1,东西不错，挺好吃的。
0,送餐块，肉夹馍还好，南瓜饼和三鲜补好。
0,送的面食，就提前确认好位置嘛，送了一个小时，要客户一遍遍催，面放一个小时基本就不能吃了。服务态度还行，但经验还得加强
0,"饭多,菜少"
0,配送速度太太太慢了。
0,不仅送的慢，态度不好，而且超级难吃、量还特别少
1,味道还好。服务态度真的很好～！
0,鸡蛋羹没有，但是汤里有个煎蛋。水标签写着蓝莓汁但是送了一个mini雪碧。
0,挺好的，速度很快
0,"速度太慢了,又没小票又没发票的"
1,包装很好，饼很好吃
0,味道不错，送餐时间不敢恭维
1,全五星好评，好吃啊
0,和同事一起订的他们都吃完了，我都饿晕了还没给送过来。。。
0,从说马上送餐，到收到餐，时间特别久，给的送餐电话打不通！
1,土豆丝太淡了，没有滋味
0,鸭头用的袋子居然还收包装费，速度太慢，打了两个电话还没找到，最后下楼自己取得
0,我和我同事点了不少茶花妹子了，味道没得说，好吃才点，但是两次单加牛肉和鹌鹑蛋，都没有送来，只要是单加的，就没送，电话联系说支付宝退款，一天过去了也没动静，很不满！
1,送餐员很好。
0,太慢，太慢，太慢
0,汤撒了，不知是一开始就没盖好还是后来晃的，另外没有餐具，这个肯定是一开始就没放
0,比较失望，我点的鸭头都没给送
0,饭都凉了--与实际不符
0,肘子卷真的难吃啊
1,"点了三次了,很好喝,送的也很快"
1,很好很喜欢送餐的小美女态度很好
0,"太油腻了,受不了,呃呃"
1,挺好吃的，下雨天还送到楼下，辛苦啦，就是有点咸了
0,送来倒是准时，可是都凉了！！！！！！！！
1,"一直很好的卷饼，但是这次拿到餐就觉得纸袋下面湿的，打开包装发现里面粥是倒的……,粥撒了……"
0,没送米饭和发票，来得还慢。
1,送的超级快，太开心了
1,量太大，吃不完
0,吃完就肚子疼，一晚上没睡好！
0,鸡块里一半是鸡脖子……
1,"特别快。比美团快多了。以后就百度啦,虽然少了份牛舌饼但是很快送过来了。挺好的"
1,挺好吃的，好吃不能怕贵，值得
1,"一直很好喝,这个很好喝"
0,我擦，怎么会有好评的，炒菜还没有食堂一勺的量，抢钱么
0,已经将近一点半了才到
0,特别差，好久不用百度外卖了，偶然用一次，80分钟才送到。百度外卖是要不行了么？
0,"煎饼里的油条是皮的，跟牛筋一样嚼不动。,鸡丝凉面，面条糟的，难吃！"
0,都太甜了，真心接受不了又甜又辣的鱼香茄子，份量也小，感觉不值这个价
